cell_type	putative_driver_count	mean_abs_cnv_score
Neutrophils	0	0.05905923080651812
Pancreatic cells	0	0.05661548482336186
Fibroblasts	2	0.04168724064912613
Pancreatic cells	3	0.06026135827521911
Pancreatic cells	3	0.06255503727217364
Pancreatic cells	0	0.06905323838834991
Fibroblasts	3	0.06592828448836825
Pancreatic cells	0	0.0592459846289916
Pancreatic cells	2	0.06767340795014802
Pancreatic cells	0	0.06491237267852179
Pancreatic cells	3	0.06841068391668238
Pancreatic cells	3	0.06161020314730543
Pancreatic cells	0	0.06620339494325042
Pancreatic cells	0	0.04803540630385139
Pancreatic cells	0	0.08740347320587087
Liver cells	0	0.05932783710159491
Neutrophils	0	0.06114659134895289
Neutrophils	0	0.06136810437901936
Pancreatic cells	0	0.051273428360809135
Liver cells	6	0.05434949552135893
Liver cells	0	0.05882324331224655
Pancreatic cells	1	0.06565591088111011
Liver cells	3	0.0906122205211637
Fibroblasts	0	0.03893570067481601
Pancreatic cells	3	0.07300988369025432
Pancreatic cells	2	0.09095330361806878
Pancreatic cells	4	0.04188772816808204
Fibroblasts	5	0.07420713276839222
Neutrophils	0	0.05951767101254825
Neutrophils	0	0.054616972849843556
Liver cells	0	0.0681179193771919
Neutrophils	1	0.052780512563895286
Liver cells	0	0.06431310309606225
Pancreatic cells	0	0.05308401880302447
Pancreatic cells	2	0.06477669004677698
Pancreatic cells	0	0.042421408463963826
Pancreatic cells	1	0.04481739342336866
Pancreatic cells	0	0.09015761329165892
Pancreatic cells	2	0.06413724777167937
Liver cells	2	0.068103795004641
Pancreatic cells	0	0.058112652466861946
Pancreatic cells	2	0.056017514374135984
Pancreatic cells	1	0.06695761423988247
Fibroblasts	0	0.03316191062346259
Pancreatic cells	2	0.0448774858908911
Pancreatic cells	0	0.051926753081654765
Liver cells	0	0.07844002901470175
Liver cells	2	0.059275346353110867
Pancreatic cells	2	0.06125317623958551
Pancreatic cells	2	0.05196113851840337
Pancreatic cells	1	0.05363221863792127
Liver cells	0	0.0639530284195236
Pancreatic cells	1	0.07304145050799943
Pancreatic cells	1	0.053269763774732456
Pancreatic cells	2	0.053574812938788526
Pancreatic cells	2	0.06477322648091112
Pancreatic cells	3	0.0638362112984481
Pancreatic cells	0	0.061159786758918325
Pancreatic cells	0	0.052453190680224984
Pancreatic cells	1	0.06574262404263044
Pancreatic cells	5	0.05647338137764696
Pancreatic cells	3	0.05168176270812803
Pancreatic cells	2	0.0599902507329906
Pancreatic cells	5	0.055885036417923875
Pancreatic cells	1	0.06781891397521378
Liver cells	2	0.060089195221216966
Liver cells	0	0.061438559970489304
Pancreatic cells	1	0.054183877257908165
Pancreatic cells	0	0.05163721214395202
Pancreatic cells	0	0.05678783531625929
Pancreatic cells	3	0.05420087422491358
Pancreatic cells	0	0.06415715604342395
Neutrophils	1	0.05565855741771185
Neutrophils	0	0.05156721625199319
Pancreatic cells	0	0.06393462676613125
Liver cells	2	0.06178242182545723
Neutrophils	0	0.046874242319655986
Neutrophils	0	0.055402746839811036
Fibroblasts	1	0.05315140044816018
Pancreatic cells	0	0.03980375369757997
Pancreatic cells	2	0.04448334018193066
Pancreatic cells	0	0.07450831688576325
Pancreatic cells	1	0.05945526043594476
Pancreatic cells	3	0.048161647779704136
Pancreatic cells	3	0.05793407955451407
Neutrophils	1	0.05601320661108579
Fibroblasts	0	0.04993452816547039
Pancreatic cells	0	0.0489454231624511
